detected,status,numberOfTestsRun,sourceFile,mutatedClass,mutatedMethod,methodDescription,lineNumber,mutator,indexes,blocks,killingTest,description,project,version,target_mode,source_xml,local_index,killed,mutant_id
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripToNull,(Ljava/lang/String;)Ljava/lang/String;,392,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTrimEmptyTest.testStripToNull_String(org.apache.commons.lang3.StringUtilsTrimEmptyTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1153,True,Lang_10f_full_1153
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,stripToNull,(Ljava/lang/String;)Ljava/lang/String;,389,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,,,org.apache.commons.lang3.StringUtilsTrimEmptyTest.testStripToNull_String(org.apache.commons.lang3.StringUtilsTrimEmptyTest),"replaced return value with """" for org/apache/commons/lang3/StringUtils::stripToNull",Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1154,True,Lang_10f_full_1154
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;I)Ljava/lang/String;,1914,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstring_StringInt(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1160,True,Lang_10f_full_1160
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;I)Ljava/lang/String;,1926,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstring_StringInt(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1163,True,Lang_10f_full_1163
False,SURVIVED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;II)Ljava/lang/String;,1974,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1166,False,Lang_10f_full_1166
False,SURVIVED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;II)Ljava/lang/String;,1987,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1169,False,Lang_10f_full_1169
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;II)Ljava/lang/String;,1978,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstring_StringIntInt(org.apache.commons.lang3.StringUtilsSubstringTest),Replaced integer addition with subtraction,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1173,True,Lang_10f_full_1173
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substring,(Ljava/lang/String;II)Ljava/lang/String;,1987,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstring_StringIntInt(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1178,True,Lang_10f_full_1178
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringAfterLast,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,2266,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringAfterLast_StringString(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1192,True,Lang_10f_full_1192
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringBefore,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,2143,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringBefore_StringString(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1199,True,Lang_10f_full_1199
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringBefore,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,2147,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringBefore_StringString(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1200,True,Lang_10f_full_1200
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringBeforeLast,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,2224,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringBeforeLast_StringString(org.apache.commons.lang3.StringUtilsSubstringTest),"replaced return value with """" for org/apache/commons/lang3/StringUtils::substringBeforeLast",Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1207,True,Lang_10f_full_1207
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringsBetween,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,2367,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringsBetween_StringStringString(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1229,True,Lang_10f_full_1229
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringsBetween,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,2371,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringsBetween_StringStringString(org.apache.commons.lang3.StringUtilsSubstringTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1230,True,Lang_10f_full_1230
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,substringsBetween,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,2394,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,org.apache.commons.lang3.StringUtilsSubstringTest.testSubstringsBetween_StringStringString(org.apache.commons.lang3.StringUtilsSubstringTest),replaced return value with null for org/apache/commons/lang3/StringUtils::substringsBetween,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1236,True,Lang_10f_full_1236
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,swapCase,(Ljava/lang/String;)Ljava/lang/String;,5005,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsTest.testSwapCase_String(org.apache.commons.lang3.StringUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1240,True,Lang_10f_full_1240
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,containsAny,(Ljava/lang/CharSequence;[C)Z,1469,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsAny_StringCharArrayWithBadSupplementaryChars(org.apache.commons.lang3.StringUtilsEqualsIndexOfTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,125,True,Lang_10f_full_125
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,add,([Ljava/lang/Object;Ljava/lang/Object;)[Ljava/lang/Object;,3742,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testLANG571(org.apache.commons.lang3.ArrayUtilsAddTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1303,True,Lang_10f_full_1303
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,addAll,([C[C)[C,3531,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray(org.apache.commons.lang3.ArrayUtilsAddTest),removed call to java/lang/System::arraycopy,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1323,True,Lang_10f_full_1323
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,addAll,([F[F)[F,3674,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray(org.apache.commons.lang3.ArrayUtilsAddTest),Replaced integer addition with subtraction,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1335,True,Lang_10f_full_1335
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,addAll,([F[F)[F,3672,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray(org.apache.commons.lang3.ArrayUtilsAddTest),replaced return value with null for org/apache/commons/lang3/ArrayUtils::addAll,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1341,True,Lang_10f_full_1341
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,addAll,([Ljava/lang/Object;[Ljava/lang/Object;)[Ljava/lang/Object;,3449,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testJira567(org.apache.commons.lang3.ArrayUtilsAddTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1360,True,Lang_10f_full_1360
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,addAll,([S[S)[S,3589,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,,,org.apache.commons.lang3.ArrayUtilsAddTest.testAddObjectArrayToObjectArray(org.apache.commons.lang3.ArrayUtilsAddTest),removed call to java/lang/System::arraycopy,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1372,True,Lang_10f_full_1372
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,clone,([D)[D,416,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testCloneDouble(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1388,True,Lang_10f_full_1388
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,clone,([S)[S,371,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testCloneShort(org.apache.commons.lang3.ArrayUtilsTest),replaced return value with null for org/apache/commons/lang3/ArrayUtils::clone,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1399,True,Lang_10f_full_1399
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,containsIgnoreCase,(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Z,1326,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsIgnoreCase_LocaleIndependence(org.apache.commons.lang3.StringUtilsEqualsIndexOfTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,141,True,Lang_10f_full_141
False,SURVIVED,5,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([CCI)I,2069,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1443,False,Lang_10f_full_1443
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([DDI)I,2298,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfDoubleWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1455,True,Lang_10f_full_1455
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([DDI)I,2292,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfDoubleWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1456,True,Lang_10f_full_1456
True,KILLED,1,StringUtils.java,org.apache.commons.lang3.StringUtils,containsIgnoreCase,(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Z,1336,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,,,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsIgnoreCase_LocaleIndependence(org.apache.commons.lang3.StringUtilsEqualsIndexOfTest),replaced boolean return with true for org/apache/commons/lang3/StringUtils::containsIgnoreCase,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,146,True,Lang_10f_full_146
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([FFI)I,2506,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfFloatWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1483,True,Lang_10f_full_1483
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([III)I,1864,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfIntWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1492,True,Lang_10f_full_1492
False,SURVIVED,5,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([JJI)I,1758,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1498,False,Lang_10f_full_1498
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([JJI)I,1755,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfLong(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1500,True,Lang_10f_full_1500
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([Ljava/lang/Object;Ljava/lang/Object;)I,1618,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOf(org.apache.commons.lang3.ArrayUtilsTest),replaced int return with 0 for org/apache/commons/lang3/ArrayUtils::indexOf,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1507,True,Lang_10f_full_1507
False,SURVIVED,27,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([Ljava/lang/Object;Ljava/lang/Object;I)I,1639,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1508,False,Lang_10f_full_1508
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([Ljava/lang/Object;Ljava/lang/Object;I)I,1649,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1510,True,Lang_10f_full_1510
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([Ljava/lang/Object;Ljava/lang/Object;I)I,1642,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1513,True,Lang_10f_full_1513
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([Ljava/lang/Object;Ljava/lang/Object;I)I,1643,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1514,True,Lang_10f_full_1514
False,SURVIVED,5,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,indexOf,([ZZI)I,2606,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,,,,changed conditional boundary,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1534,False,Lang_10f_full_1534
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,isEmpty,([B)Z,3287,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIsEmptyPrimitives(org.apache.commons.lang3.ArrayUtilsTest),replaced boolean return with true for org/apache/commons/lang3/ArrayUtils::isEmpty,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1545,True,Lang_10f_full_1545
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,isEmpty,([F)Z,3309,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIndexOfFloatWithStartIndex(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1552,True,Lang_10f_full_1552
True,KILLED,1,ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,isNotEmpty,([C)Z,3377,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,,,org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives(org.apache.commons.lang3.ArrayUtilsTest),negated conditional,Lang,10f,full,/kaggle/working/results_full20/pit_reports/Lang_10f/pit-reports/mutations.xml,1575,True,Lang_10f_full_1575
