ID,Title,Author,Venue,SearchString,v1_decision,v1_reason,v2_decision,v2_reason
44,An Efficient Deep Path Coverage-Based Approach for Automated Software Structural Testing,"Arasteh, Bahman; Sheshgelani, Mohammadali Ipchi; Kusetogullari, Huseyin",Symmetry,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
45,Automated Software Test Generation at Industry Scale Using a Multi-Agent Architecture and Workflow Integration,"Rastenis, Matas; Chou, Ben; Choudhary, Shauvik Roy; Just, René",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
46,Boosting Test Generation in Industrial Codebases: A Comparative Study of Base and Fine-Tuned LLMs,"Ahmad, Azeem; Naeem, Muhammad Rashid",IEEE Access,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
47,Innovating proficiency testing in software: a digital process with LLM-integrated support tool and automated indicators,"Dallilo, Felipe; Souza, Simone; Delamaro, Márcio",Software Quality Journal,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
48,A Logic-Guided and Explainable Approach to LLM-Based Unit Test Generation,"Zeng, Cong; Li, Meng; Liu, Fei; Yang, Xiaohua; Liu, Jie; Yan, Shiyu",Applied Sciences,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
49,How well LLM-based test generation techniques perform with newer LLM versions?,"Konstantinou, Michael; Degiovanni, Renzo; Papadakis, Mike",arXiv preprint arXiv:2601.09695,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
50,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,"Bruches, Elena; Alperovich, Vadim; Baturova, Dari; Derunets, Roman; Grebenkin, Daniil; Mkrtchyan, Georgy; Sedukhin, Oleg; Klementev, Mikhail; Bondarenko, Ivan; Bushkov, Nikolay",arXiv preprint arXiv:2601.18241,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
51,Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,"Tian, Dawei; Song, Liyan; Su, Xiaohong",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
52,Test-Driven AI Agent Definition (TDAD): Compiling Tool-Using Agents from Behavioral Specifications,"Rehan, Tzafrir",arXiv preprint arXiv:2603.08806,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
53,SAGE: Specification-Aware Grammar Extraction for Automated Test Case Generation with LLMs,"Aditi, Aditi; Park, Hyunwoo; Sung, Sicheol; Han, Yo-Sub; Ko, Sang-Ki",Available at SSRN 6672672,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
54,Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation,"Li, Anji; Liu, Mingwei; Chen, Zhenxi; Pei, Zheng; Li, Zike; Dai, Dekun; Wang, Yanlin; Zheng, Zibin",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
55,"DevBench: A Realistic, Developer-Informed Benchmark for Code Generation Models","Golnari, Pareesa Ameneh; Kumarappan, Adarsh; Wen, Wen; Liu, Xiaoyu; Ryan, Gabriel; Sun, Yuting; Fu, Shengyu; Nallipogu, Elsie",arXiv preprint arXiv:2601.11895,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
56,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,"Yang, Chen; Chen, Junjie; Lin, Bin; Wang, Ziqi; Zhou, Jianyi",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
57,"Have model transformation languages failed?: On the rise, fall and revival of model transformation languages","De Lara, Juan; Guerra, Esther; Cuadrado, Jesús Sánchez",Software and Systems Modeling,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
58,Evaluating LLM-Based Regression Test Generation,"LIU, JING; LEE, SEONGMIN; LOSIOUK, ELEONORA; BÖHME, MARCEL",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
59,Automatic Generation of Formal Specification and Verification Annotations Using LLMs and Test Oracles,"Faria, João Pascoal; Trigo, Emanuel; Honorato, Vinicius; Abreu, Rui",arXiv preprint arXiv:2601.12845,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
60,Operational Robustness of LLMs on Code Generation,"Paul, Debalina Ghosh; Zhu, Hong; Bayley, Ian",arXiv preprint arXiv:2602.18800,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
61,Mutation Testing for Assessing RAG Pipeline Reliability: The System Prompt as the Primary Grounding Mechanism,"Momtaz, Yahya; Brescia, Massimo; Ettari, Adriano",,String A,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
62,"Foundation Models in Software Engineering: A Taxonomy, Systematic Review, and In-Depth Analysis of Testing Support","Banitaan, Shadi; Daoud, Mohammad; Alquran, Hebah; Akour, Mohammad",Information,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
63,RM-RF: Reward Model for Run-Free Unit Test Evaluation,"Bruches, Elena; Grebenkin, Daniil; Klementev, Mikhail; Alperovich, Vadim; Derunets, Roman; Baturova, Dari; Mkrtchyan, Georgy; Sedukhin, Oleg; Bondarenko, Ivan; Bushkov, Nikolay",arXiv preprint arXiv:2601.13097,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
64,An Empirical Study on Pragmatic Unit Test Generation with Large Language Models,"Lan, Tian; Xue, Kaiyuan; Duan, Ruyuan; Sun, Meng",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
65,Hybrid Fault-Driven Mutation Testing for Python,"Alimadadi, Saba; Gharachorlu, Golnaz",arXiv preprint arXiv:2601.19088,String A,EXCLUDE,"Excluded by IC4: the paper proposes Python mutation operators using static/dynamic analysis, but the abstract does not apply AI/ML/LLM or intelligent optimization techniques.",,
66,Generative AI-Assisted Framework for Secure and Autonomous Software Development Lifecycle Optimization,"Srinivas, Pattlola; Mohammad, Addul Rahmath; Neelima, T.; Kundiladi, Mohammed Shafi; Ramamoorthy, Selvamurugan; Katta, Sivakoteswararao",2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN),String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
67,Improving LLM-Driven Test Generation by Learning from Mocking Information,"Lee, Jamie; Teh, Flynn; Zhu, Hengcheng; Li, Mengzhen; Fazzini, Mattia; Terragni, Valerio",arXiv preprint arXiv:2604.19315,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
68,SPARC: Scenario Planning and Reasoning for Automated C Unit Test Generation,"Chowdhury, Jaid Monwar; Fu, Chi-An; Jabbarvand, Reyhaneh",arXiv preprint arXiv:2602.16671,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
69,Generalizing Test Cases for Comprehensive Test Scenario Coverage,"Qi, Binhang; Lin, Yun; Weng, Xinyi; Liu, Chenyan; Sun, Hailong; Fraser, Gordon; Dong, Jin Song",arXiv preprint arXiv:2604.21771,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
70,AutoReSpec: A Framework for Generating Specification using Large Language Models,"Ayon, Ragib Shahariar; Ahmed, Shibbir",arXiv preprint arXiv:2604.03758,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
71,Less Is More: Failing Test Generation with Large Language Models,"Li, Tsz-On; Yan, Xiaochuan; Zong, Wenxi; Wang, Yibo; Tian, Haoye; Xu, Congying; Wang, Ying; Cheung, Shing-Chi; Kramer, Jeff",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
72,Proactive Multi-Agent Systems for Autonomous Code Generation and Software Maintenance,"Elsayed, Saher; Abubaker, Samer; Ali, Mohamed; Elbtity, Mohammed",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
73,An Automated Methodology for Generating Labeled Datasets of Semantic Errors in Code,"Kassem, Mahmoud; Ribeiro, Francisco; Nadi, Sarah",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
74,CONCUR: Benchmarking LLMs for Concurrent Code Generation,"Huang, Jue; Mahmud, Tarek; Pasareanu, Corina; Yang, Guowei",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
75,Automated Test Suite Enhancement Using Large Language Models with Few-shot Prompting,"Chudic, Alex; Çalıklı, Gül",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
76,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,"Kogler, Leon; Hangler, Stefan; Ehrhart, Maximilian; Dornauer, Benedikt; Wuersching, Roland; Schrammel, Peter",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
77,Mutation based improvement of security test case quality for broken access control,"Abdurrasyid; Asnar, Yudistira; Ayu Putri Saptawati, Gusti",Journal on Information Security,String A,EXCLUDE,"Excluded by IC4: the paper proposes security-focused mutation operators for broken access control, but does not apply AI/ML/LLM or intelligent optimization.",,
78,Fuzzing-based mutation testing of C/C++ software in cyber-physical systems,"Lee, Jaekwon; Pastore, Fabrizio; Briand, Lionel",Empirical Software Engineering,String A,EXCLUDE,EC4: Mutation is used in a different context and the title does not indicate AI-guided mutant selection/ranking for Java projects.,,
79,ScratchEval : A Multimodal Evaluation Framework for LLMs in Block-Based Programming,"Si, Yuan; Han, Simeng; Li, Daming; Shi, Hanyuan; Zhang, Jialu",,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
80,A Survey on Large Language Models for Code Generation,"Jiang, Juyong; Wang, Fan; Shen, Jiasi; Kim, Sungju; Kim, Sunghun",ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
81,On-demand generation of high-quality software engineering datasets using large language models and ontologies,"Bishop, George; Chakraborty, Suranjan; Zhou, Honghe; Dehlinger, Josh; Deng, Lin; Lin, Jonah; Kist, Benjamin",Automated Software Engineering,String A,EXCLUDE,"EC4: Title does not focus on mutation testing/mutants; mainly about test generation, fuzzing, code generation, defect prediction, or another SE topic.",,
