mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,random_seed
JacksonCore_10f_mutant_424,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,findName,598,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (len == 0) { // empty slot? Short-circuit if no more spillovers,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  595:                 return _names[offset2 >> 2];
  596:             }
  597:         }
>>598:         if (len == 0) { // empty slot? Short-circuit if no more spillovers
  599:             return null;
  600:         }
  601:         return _findSecondary(offset, hash, q, qlen);",2026
Codec_1f_mutant_97,Codec,1f,org.apache.commons.codec.language.Metaphone,metaphone,213,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"if (isPreviousChar(local, n, 'G')) {",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  210: 					      regionMatch(local, n, ""GNED"") ) ) {
  211:                         break; // silent G
  212:                     }
>>213:                     if (isPreviousChar(local, n, 'G')) {
  214:                         hard = true ;
  215:                     } else {
  216:                         hard = false ;",2026
JacksonCore_3f_mutant_987,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipWSOrEnd,2557,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,return i;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,"  2554:             final int i = _inputBuffer[_inputPtr++] & 0xFF;
  2555:             switch (codes[i]) {
  2556:             case 0: // done!
>>2557:                 return i;
  2558:             case 1: // skip
  2559:                 continue;
  2560:             case 2: // 2-byte UTF",2026
Codec_8f_mutant_109,Codec,8f,org.apache.commons.codec.binary.Base64,encode,484,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,b += 256;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,"  481:                 modulus = (++modulus) % 3;
  482:                 int b = in[inPos++];
  483:                 if (b < 0) {
>>484:                     b += 256;
  485:                 }
  486:                 x = (x << 8) + b;
  487:                 if (0 == modulus) {",2026
Codec_9f_mutant_209,Codec,9f,org.apache.commons.codec.binary.Base64,isBase64,593,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,return octet == PAD || (octet >= 0 && octet < DECODE_TABLE.length && DECODE_TABLE[octet] != -1);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  590:      * @since 1.4
  591:      */
  592:     public static boolean isBase64(byte octet) {
>>593:         return octet == PAD || (octet >= 0 && octet < DECODE_TABLE.length && DECODE_TABLE[octet] != -1);
  594:     }
  595: 
  596:     /**",2026
JacksonCore_9f_mutant_516,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseAposName,2138,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch = 0x80 | (ch & 0x3f);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2135:                         ++currQuadBytes;
  2136:                     }
  2137:                     // And same last byte in both cases, gets output below:
>>2138:                     ch = 0x80 | (ch & 0x3f);
  2139:                 }
  2140:             }
  2141:             // Ok, we have one more byte to add at any rate:",2026
JacksonCore_2f_mutant_201,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeUtf8_4,2977,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"_reportInvalidOther(d & 0xFF, _inputPtr);",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2974:         }
  2975:         d = (int) _inputBuffer[_inputPtr++];
  2976:         if ((d & 0xC0) != 0x080) {
>>2977:             _reportInvalidOther(d & 0xFF, _inputPtr);
  2978:         }
  2979:         c = (c << 6) | (d & 0x3F);
  2980:         if (_inputPtr >= _inputEnd) {",2026
Csv_8f_mutant_73,Csv,8f,org.apache.commons.csv.CSVFormat,hashCode,535,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,result = prime * result + (ignoreSurroundingSpaces ? 1231 : 1237);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  532:         result = prime * result + ((commentStart == null) ? 0 : commentStart.hashCode());
  533:         result = prime * result + ((escape == null) ? 0 : escape.hashCode());
  534:         result = prime * result + ((nullString == null) ? 0 : nullString.hashCode());
>>535:         result = prime * result + (ignoreSurroundingSpaces ? 1231 : 1237);
  536:         result = prime * result + (ignoreEmptyLines ? 1231 : 1237);
  537:         result = prime * result + (skipHeaderRecord ? 1231 : 1237);
  538:         result = prime * result + ((recordSeparator == null) ? 0 : recordSeparator.hashCode());",2026
JacksonCore_3f_mutant_334,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleOddName,1831,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (qlen >= quads.length) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  1828:         }
  1829: 
  1830:         if (currQuadBytes > 0) {
>>1831:             if (qlen >= quads.length) {
  1832:                 _quadBuffer = quads = growArrayBy(quads, quads.length);
  1833:             }
  1834:             quads[qlen++] = currQuad;",2026
JacksonCore_9f_mutant_1903,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleOddName,1345,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (!isEnabled(Feature.ALLOW_UNQUOTED_FIELD_NAMES)) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1342:             return _parseAposName();
  1343:         }
  1344:         // [JACKSON-69]: allow unquoted names if feature enabled:
>>1345:         if (!isEnabled(Feature.ALLOW_UNQUOTED_FIELD_NAMES)) {
  1346:             _reportUnexpectedChar(i, ""was expecting double-quote to start field name"");
  1347:         }
  1348:         final int[] codes = CharTypes.getInputCodeLatin1JsNames();",2026
Codec_3f_mutant_538,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,handleX,776,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"(contains(value, index - 3, 3, ""IAU"", ""EAU"") ||",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  773:             index++;
  774:         } else {
  775:             if (!((index == value.length() - 1) &&
>>776:                   (contains(value, index - 3, 3, ""IAU"", ""EAU"") ||
  777:                    contains(value, index - 2, 2, ""AU"", ""OU"")))) {
  778:                 //-- French e.g. breaux --//
  779:                 result.append(""KS"");",2026
Codec_2f_mutant_44,Codec,2f,org.apache.commons.codec.binary.Base64,decode,539,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,buf[pos++] = (byte) ((x >> 16) & MASK_8BITS);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  536:                     buf[pos++] = (byte) ((x >> 16) & MASK_8BITS);
  537:                     break;
  538:                 case 3:
>>539:                     buf[pos++] = (byte) ((x >> 16) & MASK_8BITS);
  540:                     buf[pos++] = (byte) ((x >> 8) & MASK_8BITS);
  541:                     break;
  542:             }",2026
JacksonCore_2f_mutant_33,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeBase64,3231,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decodedData >>= 2;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  3228:                      * 3 chars gives 3x6 == 18 bits, of which 2 are
  3229:                      * dummies, need to discard:
  3230:                      */
>>3231:                     decodedData >>= 2;
  3232:                     builder.appendTwoBytes(decodedData);
  3233:                     continue;
  3234:                 }",2026
JacksonCore_2f_mutant_1051,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2025,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch = (ch >> ((3 - byteIx) << 3)) & 0xFF;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2022:         for (int ix = 0; ix < byteLen; ) {
  2023:             int ch = quads[ix >> 2]; // current quad, need to shift+mask
  2024:             int byteIx = (ix & 3);
>>2025:             ch = (ch >> ((3 - byteIx) << 3)) & 0xFF;
  2026:             ++ix;
  2027: 
  2028:             if (ch > 127) { // multi-byte",2026
Codec_7f_mutant_6,Codec,7f,org.apache.commons.codec.binary.Base64,<init>,345,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,this.decodeSize = this.encodeSize - 1;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  342:         } else {
  343:             this.encodeSize = 4;
  344:         }
>>345:         this.decodeSize = this.encodeSize - 1;
  346:         if (containsBase64Byte(lineSeparator)) {
  347:             String sep = StringUtils.newStringUtf8(lineSeparator);
  348:             throw new IllegalArgumentException(""lineSeperator must not contain base64 characters: ["" + sep + ""]"");",2026
JacksonCore_2f_mutant_1501,JacksonCore,2f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_decodeBase64,1958,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"if (ch == '""' && !b64variant.usesPadding()) {",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1955:             if (bits < 0) {
  1956:                 if (bits != Base64Variant.BASE64_VALUE_PADDING) {
  1957:                     // as per [JACKSON-631], could also just be 'missing'  padding
>>1958:                     if (ch == '""' && !b64variant.usesPadding()) {
  1959:                         decodedData >>= 4;
  1960:                         builder.append(decodedData);
  1961:                         return builder.toByteArray();",2026
Codec_7f_mutant_181,Codec,7f,org.apache.commons.codec.binary.Base64,encodeBase64,826,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (len > maxResultSize) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  823:         }
  824: 
  825:         long len = getEncodeLength(binaryData, MIME_CHUNK_SIZE, CHUNK_SEPARATOR);
>>826:         if (len > maxResultSize) {
  827:             throw new IllegalArgumentException(""Input array too big, the output array would be bigger ("" +
  828:                 len +
  829:                 "") than the specified maxium size of "" +",2026
JacksonCore_2f_mutant_567,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseFieldName,1506,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"return parseName(q, i, 2);",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  1503:                 if (i == INT_QUOTE) { // one byte/char case or broken
  1504:                     return findName(q, 2);
  1505:                 }
>>1506:                 return parseName(q, i, 2);
  1507:             }
  1508:             if (i == INT_QUOTE) { // one byte/char case or broken
  1509:                 return findName(q, 1);",2026
Csv_7f_mutant_7,Csv,7f,org.apache.commons.csv.CSVParser,close,264,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,this.lexer.close();,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  261:      */
  262:     public void close() throws IOException {
  263:         if (this.lexer != null) {
>>264:             this.lexer.close();
  265:         }
  266:     }
  267: ",2026
JacksonCore_9f_mutant_1287,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,findName,2204,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,"return addName(_quadBuffer, 2, lastQuadBytes);",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,"  2201:         // If not, more work. We'll need add stuff to buffer
  2202:         _quadBuffer[0] = q1;
  2203:         _quadBuffer[1] = q2;
>>2204:         return addName(_quadBuffer, 2, lastQuadBytes);
  2205:     }
  2206: 
  2207:     private final String findName(int q1, int q2, int q3, int lastQuadBytes) throws JsonParseException",2026
Csv_8f_mutant_86,Csv,8f,org.apache.commons.csv.CSVFormat,hashCode,533,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,result = prime * result + ((escape == null) ? 0 : escape.hashCode());,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  530:         result = prime * result + ((quotePolicy == null) ? 0 : quotePolicy.hashCode());
  531:         result = prime * result + ((quoteChar == null) ? 0 : quoteChar.hashCode());
  532:         result = prime * result + ((commentStart == null) ? 0 : commentStart.hashCode());
>>533:         result = prime * result + ((escape == null) ? 0 : escape.hashCode());
  534:         result = prime * result + ((nullString == null) ? 0 : nullString.hashCode());
  535:         result = prime * result + (ignoreSurroundingSpaces ? 1231 : 1237);
  536:         result = prime * result + (ignoreEmptyLines ? 1231 : 1237);",2026
Codec_3f_mutant_304,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,handleG,463,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,result.append('K');,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  460:             index += 2;
  461:         } else if (charAt(value, index + 1) == 'G') {
  462:             index += 2;
>>463:             result.append('K');
  464:         } else {
  465:             index++;
  466:             result.append('K');",2026
Codec_4f_mutant_44,Codec,4f,org.apache.commons.codec.binary.Base64,decode,558,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,modulus = (++modulus) % 4;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  555:                 if (b >= 0 && b < DECODE_TABLE.length) {
  556:                     int result = DECODE_TABLE[b];
  557:                     if (result >= 0) {
>>558:                         modulus = (++modulus) % 4;
  559:                         x = (x << 6) + result;
  560:                         if (modulus == 0) {
  561:                             buffer[pos++] = (byte) ((x >> 16) & MASK_8BITS);",2026
JacksonCore_6f_mutant_42,JacksonCore,6f,com.fasterxml.jackson.core.JsonPointer,_parseQuotedTail,264,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"return new JsonPointer(input, sb.toString(), EMPTY);",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  261:             sb.append(c);
  262:         }
  263:         // end of the road, last segment
>>264:         return new JsonPointer(input, sb.toString(), EMPTY);
  265:     }
  266: 
  267:     private static void _appendEscape(StringBuilder sb, char c) {",2026
JacksonCore_3f_mutant_504,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseAposName,1937,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch = _inputBuffer[_inputPtr++] & 0xFF;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  1934:                     _reportInvalidEOF("" in field name"");
  1935:                 }
  1936:             }
>>1937:             ch = _inputBuffer[_inputPtr++] & 0xFF;
  1938:         }
  1939: 
  1940:         if (currQuadBytes > 0) {",2026
JacksonCore_10f_mutant_275,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,calcHash,985,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,hash ^= (hash << 3); // shuffle back a bit,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  982:          *    to work it out, but this is the simplest, fast and seems to do ok.
  983:          */
  984:         hash += (hash >>> 16); // to xor hi- and low- 16-bits
>>985:         hash ^= (hash << 3); // shuffle back a bit
  986:         hash += (hash >>> 12); // and bit more
  987:         return hash;
  988:     }",2026
JacksonCore_2f_mutant_808,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipCComment,2737,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,_skipUtf8_3(i);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  2734:                     _skipUtf8_2(i);
  2735:                     break;
  2736:                 case 3: // 3-byte UTF
>>2737:                     _skipUtf8_3(i);
  2738:                     break;
  2739:                 case 4: // 4-byte UTF
  2740:                     _skipUtf8_4(i);",2026
Codec_3f_mutant_438,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,handleS,618,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"if (contains(value, index - 1, 3, ""ISL"", ""YSL"")) {",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  615:                         DoubleMetaphoneResult result,
  616:                         int index,
  617:                         boolean slavoGermanic) {
>>618:         if (contains(value, index - 1, 3, ""ISL"", ""YSL"")) {
  619:             //-- special cases ""island"", ""isle"", ""carlisle"", ""carlysle"" --//
  620:             index++;
  621:         } else if (index == 0 && contains(value, index, 5, ""SUGAR"")) {",2026
JacksonCore_3f_mutant_845,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipColon,2649,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,while (_inputPtr < _inputEnd || loadMore()) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2646:         }
  2647: 
  2648:             // either way, found colon, skip through trailing WS
>>2649:         while (_inputPtr < _inputEnd || loadMore()) {
  2650:             i = _inputBuffer[_inputPtr++] & 0xFF;
  2651:             if (i > INT_SPACE) {
  2652:                 if (i != INT_SLASH) {",2026
JacksonCore_9f_mutant_563,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseFloat,1589,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,outBuf[outPtr++] = (char) c;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,"  1586:                     outBuf = _textBuffer.finishCurrentSegment();
  1587:                     outPtr = 0;
  1588:                 }
>>1589:                 outBuf[outPtr++] = (char) c;
  1590:                 if (_inputPtr >= _inputEnd && !loadMore()) {
  1591:                     eof = true;
  1592:                     break exp_loop;",2026
Codec_6f_mutant_16,Codec,6f,org.apache.commons.codec.binary.Base64InputStream,read,139,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (b == null) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  136:      *             if offset, len or buffer size are invalid
  137:      */
  138:     public int read(byte b[], int offset, int len) throws IOException {
>>139:         if (b == null) {
  140:             throw new NullPointerException();
  141:         } else if (offset < 0 || len < 0) {
  142:             throw new IndexOutOfBoundsException();",2026
Codec_9f_mutant_122,Codec,9f,org.apache.commons.codec.binary.Base64,encode,461,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,buffer[pos++] = encodeTable[(x >> 4) & MASK_6BITS];,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  458: 
  459:                 case 2 :
  460:                     buffer[pos++] = encodeTable[(x >> 10) & MASK_6BITS];
>>461:                     buffer[pos++] = encodeTable[(x >> 4) & MASK_6BITS];
  462:                     buffer[pos++] = encodeTable[(x << 2) & MASK_6BITS];
  463:                     // URL-SAFE skips the padding to further reduce size.
  464:                     if (encodeTable == STANDARD_ENCODE_TABLE) {",2026
JacksonCore_9f_mutant_2553,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_skipWSOrEnd2,1931,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,} else if (i == INT_CR) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1928:                 if (i == INT_LF) {
  1929:                     ++_currInputRow;
  1930:                     _currInputRowStart = _inputPtr;
>>1931:                 } else if (i == INT_CR) {
  1932:                     _skipCR();
  1933:                 } else if (i != INT_TAB) {
  1934:                     _throwInvalidSpace(i);",2026
JacksonCore_9f_mutant_2895,JacksonCore,9f,com.fasterxml.jackson.core.base.ParserMinimalBase,skipChildren,139,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,return this;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  136:     {
  137:         if (_currToken != JsonToken.START_OBJECT
  138:             && _currToken != JsonToken.START_ARRAY) {
>>139:             return this;
  140:         }
  141:         int open = 1;
  142: ",2026
JacksonCore_8f_mutant_8,JacksonCore,8f,com.fasterxml.jackson.core.util.TextBuffer,append,468,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (_inputStart >= 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  465:     public void append(String str, int offset, int len)
  466:     {
  467:         // Can't append to shared buf (sanity check)
>>468:         if (_inputStart >= 0) {
  469:             unshare(len);
  470:         }
  471:         _resultString = null;",2026
Codec_8f_mutant_88,Codec,8f,org.apache.commons.codec.binary.Base64,discardWhitespace,850,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,return packedData;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  847:         }
  848:         byte packedData[] = new byte[bytesCopied];
  849:         System.arraycopy(groomedData, 0, packedData, 0, bytesCopied);
>>850:         return packedData;
  851:     }
  852: 
  853:     /**",2026
