mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,random_seed
JacksonCore_9f_mutant_1849,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleApos,1478,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (_inputPtr >= _inputEnd) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  1475:         int outPtr = _textBuffer.getCurrentSegmentSize();
  1476: 
  1477:         while (true) {
>>1478:             if (_inputPtr >= _inputEnd) {
  1479:                 if (!loadMore()) {
  1480:                     _reportInvalidEOF("": was expecting closing quote for a string value"");
  1481:                 }",42
JacksonCore_3f_mutant_835,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipColon,2650,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,i = _inputBuffer[_inputPtr++] & 0xFF;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2647: 
  2648:             // either way, found colon, skip through trailing WS
  2649:         while (_inputPtr < _inputEnd || loadMore()) {
>>2650:             i = _inputBuffer[_inputPtr++] & 0xFF;
  2651:             if (i > INT_SPACE) {
  2652:                 if (i != INT_SLASH) {
  2653:                     return i;",42
Codec_2f_mutant_204,Codec,2f,org.apache.commons.codec.binary.Base64,isWhiteSpace,783,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,return false;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,"  780:             case '\t' :
  781:                 return true;
  782:             default :
>>783:                 return false;
  784:         }
  785:     }
  786: ",42
JacksonCore_9f_mutant_457,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_matchToken2,2775,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_inputPtr >= _inputEnd && !loadMore()) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2772:         } while (++i < len);
  2773: 
  2774:         // but let's also ensure we either get EOF, or non-alphanum char...
>>2775:         if (_inputPtr >= _inputEnd && !loadMore()) {
  2776:             return;
  2777:         }
  2778:         int ch = _inputBuffer[_inputPtr] & 0xFF;",42
JacksonCore_9f_mutant_1353,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,getValueAsInt,355,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if ((_numTypesValid & NR_INT) == 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  352:         JsonToken t = _currToken;
  353:         if ((t == JsonToken.VALUE_NUMBER_INT) || (t == JsonToken.VALUE_NUMBER_FLOAT)) {
  354:             // inlined 'getIntValue()'
>>355:             if ((_numTypesValid & NR_INT) == 0) {
  356:                 if (_numTypesValid == NR_UNKNOWN) {
  357:                     return _parseIntValue();
  358:                 }",42
JacksonCore_9f_mutant_94,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeCharForError,3233,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,if ((d & 0xC0) != 0x080) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  3230:                 c = (c << 6) | (d & 0x3F);
  3231:                 if (needed > 2) { // 4 bytes? (need surrogates)
  3232:                     d = nextByte();
>>3233:                     if ((d & 0xC0) != 0x080) {
  3234:                         _reportInvalidOther(d & 0xFF);
  3235:                     }
  3236:                     c = (c << 6) | (d & 0x3F);",42
JacksonCore_9f_mutant_1966,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_matchFalse,2095,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (c < '0' || c == ']' || c == '}') { // expected/allowed chars,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2092:             final char[] b = _inputBuffer;
  2093:             if (b[ptr] == 'a' && b[++ptr] == 'l' && b[++ptr] == 's' && b[++ptr] == 'e') {
  2094:                 char c = b[++ptr];
>>2095:                 if (c < '0' || c == ']' || c == '}') { // expected/allowed chars
  2096:                     _inputPtr = ptr;
  2097:                     return;
  2098:                 }",42
JacksonCore_2f_mutant_1533,JacksonCore,2f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_decodeEscaped,1812,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (!loadMore()) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1809:     protected char _decodeEscaped() throws IOException
  1810:     {
  1811:         if (_inputPtr >= _inputEnd) {
>>1812:             if (!loadMore()) {
  1813:                 _reportInvalidEOF("" in character escape sequence"");
  1814:             }
  1815:         }",42
JacksonCore_10f_mutant_38,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,_findOffsetForAdd,892,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,if (hashArea[offset+3] == 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  889:         // first, check the primary:
  890:         int offset = _calcOffset(hash);
  891:         final int[] hashArea = _hashArea;
>>892:         if (hashArea[offset+3] == 0) {
  893: //System.err.printf("" PRImary slot #%d, hash %X\n"", (offset>>2), hash & 0x7F);
  894:             return offset;
  895:         }",42
JacksonCore_2f_mutant_266,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_finishString2,2214,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (outPtr >= outBuf.length) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2211:                 }
  2212:             }
  2213:             // Need more room?
>>2214:             if (outPtr >= outBuf.length) {
  2215:                 outBuf = _textBuffer.finishCurrentSegment();
  2216:                 outPtr = 0;
  2217:             }",42
Codec_2f_mutant_165,Codec,2f,org.apache.commons.codec.binary.Base64,encodeBase64,693,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,len += (1 + (len / CHUNK_SIZE)) * CHUNK_SEPARATOR.length;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  690:             len += 4 - mod;
  691:         }
  692:         if (isChunked) {
>>693:             len += (1 + (len / CHUNK_SIZE)) * CHUNK_SEPARATOR.length;
  694:         }
  695:         if (len > Integer.MAX_VALUE) {
  696:             throw new IllegalArgumentException(",42
JacksonCore_10f_mutant_396,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,findName,549,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if ((q1 == hashArea[offset2]) && (hashArea[offset2+1] == q2) && (hashArea[offset2+2] == q3)) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  546:         len = hashArea[offset2+3];
  547: 
  548:         if (len == 3) {
>>549:             if ((q1 == hashArea[offset2]) && (hashArea[offset2+1] == q2) && (hashArea[offset2+2] == q3)) {
  550:                 return _names[offset2 >> 2];
  551:             }
  552:         } else if (len == 0) { // empty slot? Short-circuit if no more spillovers",42
JacksonCore_9f_mutant_1313,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,getText,285,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,return _finishAndReturnString(); // only strings can be incomplete,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,"  282:         if (_currToken == JsonToken.VALUE_STRING) {
  283:             if (_tokenIncomplete) {
  284:                 _tokenIncomplete = false;
>>285:                 return _finishAndReturnString(); // only strings can be incomplete
  286:             }
  287:             return _textBuffer.contentsAsString();
  288:         }",42
Csv_3f_mutant_20,Csv,3f,org.apache.commons.csv.Lexer,mapNullToDisabled,69,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,return c == null ? DISABLED : c.charValue();,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,"  66:     }
  67: 
  68:     private final char mapNullToDisabled(final Character c) {
>>69:         return c == null ? DISABLED : c.charValue();
  70:     }
  71: 
  72:     long getLineNumber() {",42
JacksonCore_2f_mutant_829,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_skipColon,2642,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,++_currInputRow;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2639:                     _skipCR();
  2640:                     break;
  2641:                 case INT_LF:
>>2642:                     ++_currInputRow;
  2643:                     _currInputRowStart = _inputPtr;
  2644:                     break;
  2645:                 case '/':",42
JacksonCore_9f_mutant_1949,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleOddValue,1468,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"_reportUnexpectedChar(i, ""expected a valid value (number, String, array, object, 'true', 'false' or 'null')"");",PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  1465:             _reportInvalidToken(""""+((char) i), ""('true', 'false' or 'null')"");
  1466:         }
  1467:         // but if it doesn't look like a token:
>>1468:         _reportUnexpectedChar(i, ""expected a valid value (number, String, array, object, 'true', 'false' or 'null')"");
  1469:         return null;
  1470:     }
  1471: ",42
JacksonCore_1f_mutant_365,JacksonCore,1f,com.fasterxml.jackson.core.util.TextBuffer,size,265,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (_inputStart >= 0) { // shared copy from input buf,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  262:      * @return Number of characters currently stored by this collector
  263:      */
  264:     public int size() {
>>265:         if (_inputStart >= 0) { // shared copy from input buf
  266:             return _inputLen;
  267:         }
  268:         if (_resultArray != null) {",42
JacksonCore_3f_mutant_1350,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,parseEscapedName,1734,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch = 0x80 | (ch & 0x3f);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  1731:                         ++currQuadBytes;
  1732:                     }
  1733:                     // And same last byte in both cases, gets output below:
>>1734:                     ch = 0x80 | (ch & 0x3f);
  1735:                 }
  1736:             }
  1737:             // Ok, we have one more byte to add at any rate:",42
JacksonCore_3f_mutant_1271,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextTextValue,1085,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_tokenIncomplete) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1082:             _nextToken = null;
  1083:             _currToken = t;
  1084:             if (t == JsonToken.VALUE_STRING) {
>>1085:                 if (_tokenIncomplete) {
  1086:                     _tokenIncomplete = false;
  1087:                     _finishString();
  1088:                 }",42
Codec_5f_mutant_227,Codec,5f,org.apache.commons.codec.binary.Base64,isWhiteSpace,900,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,return true;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,"  897:             case '\n' :
  898:             case '\r' :
  899:             case '\t' :
>>900:                 return true;
  901:             default :
  902:                 return false;
  903:         }",42
JacksonCore_2f_mutant_1085,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2075,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,ch = (ch << 6) | (ch2 & 0x3F);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2072:                         if ((ch2 & 0xC0) != 0x080) {
  2073:                             _reportInvalidOther(ch2 & 0xFF);
  2074:                         }
>>2075:                         ch = (ch << 6) | (ch2 & 0x3F);
  2076:                     }
  2077:                 }
  2078:                 if (needed > 2) { // surrogate pair? once again, let's output one here, one later on",42
JacksonCore_2f_mutant_12,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeBase64,3181,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (bits < 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  3178:             bits = b64variant.decodeBase64Char(ch);
  3179: 
  3180:             // First branch: can get padding (-> 1 byte)
>>3181:             if (bits < 0) {
  3182:                 if (bits != Base64Variant.BASE64_VALUE_PADDING) {
  3183:                     // as per [JACKSON-631], could also just be 'missing'  padding
  3184:                     if (ch == '""' && !b64variant.usesPadding()) {",42
JacksonCore_9f_mutant_2746,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,releaseBuffered,137,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (count < 1) { return 0; },PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  134:     @Override
  135:     public int releaseBuffered(Writer w) throws IOException {
  136:         int count = _inputEnd - _inputPtr;
>>137:         if (count < 1) { return 0; }
  138:         // let's just advance ptr to end
  139:         int origPtr = _inputPtr;
  140:         w.write(_inputBuffer, origPtr, count);",42
Codec_3f_mutant_163,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,handleC,320,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,index += 3;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,"  317:             result.append('K');
  318:             if (contains(value, index + 1, 2, "" C"", "" Q"", "" G"")) {
  319:                 //-- Mac Caffrey, Mac Gregor --//
>>320:                 index += 3;
  321:             } else if (contains(value, index + 1, 1, ""C"", ""K"", ""Q"") &&
  322:                        !contains(value, index + 1, 2, ""CE"", ""CI"")) {
  323:                 index += 2;",42
JacksonCore_3f_mutant_1043,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2024,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,lastQuad = quads[qlen-1];,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2021:         int lastQuad;
  2022: 
  2023:         if (lastQuadBytes < 4) {
>>2024:             lastQuad = quads[qlen-1];
  2025:             // 8/16/24 bit left shift
  2026:             quads[qlen-1] = (lastQuad << ((4 - lastQuadBytes) << 3));
  2027:         } else {",42
JacksonCore_9f_mutant_495,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseAposName,2130,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,quads[qlen++] = currQuad;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,"  2127:                             if (qlen >= quads.length) {
  2128:                                 _quadBuffer = quads = growArrayBy(quads, quads.length);
  2129:                             }
>>2130:                             quads[qlen++] = currQuad;
  2131:                             currQuad = 0;
  2132:                             currQuadBytes = 0;
  2133:                         }",42
JacksonCore_3f_mutant_94,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeCharForError,2878,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,c = (c << 6) | (d & 0x3F);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2875:                     if ((d & 0xC0) != 0x080) {
  2876:                         _reportInvalidOther(d & 0xFF);
  2877:                     }
>>2878:                     c = (c << 6) | (d & 0x3F);
  2879:                 }
  2880:             }
  2881:         }",42
JacksonCore_2f_mutant_233,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_finishString,2123,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,while (ptr < max) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2120: 
  2121:         final int max = Math.min(_inputEnd, (ptr + outBuf.length));
  2122:         final byte[] inputBuffer = _inputBuffer;
>>2123:         while (ptr < max) {
  2124:             int c = (int) inputBuffer[ptr] & 0xFF;
  2125:             if (codes[c] != 0) {
  2126:                 if (c == INT_QUOTE) {",42
Csv_8f_mutant_39,Csv,8f,org.apache.commons.csv.CSVFormat,equals,375,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,return false;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,"  372:             return false;
  373:         }
  374:         if (!Arrays.equals(header, other.header)) {
>>375:             return false;
  376:         }
  377:         if (ignoreSurroundingSpaces != other.ignoreSurroundingSpaces) {
  378:             return false;",42
Codec_4f_mutant_138,Codec,4f,org.apache.commons.codec.binary.Base64,encode,500,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,buffer[pos++] = encodeTable[(x >> 18) & MASK_6BITS];,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  497:                 }
  498:                 x = (x << 8) + b;
  499:                 if (0 == modulus) {
>>500:                     buffer[pos++] = encodeTable[(x >> 18) & MASK_6BITS];
  501:                     buffer[pos++] = encodeTable[(x >> 12) & MASK_6BITS];
  502:                     buffer[pos++] = encodeTable[(x >> 6) & MASK_6BITS];
  503:                     buffer[pos++] = encodeTable[x & MASK_6BITS];",42
JacksonCore_2f_mutant_343,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleOddName,1769,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (!isEnabled(Feature.ALLOW_UNQUOTED_FIELD_NAMES)) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1766:             return _parseAposName();
  1767:         }
  1768:         // [JACKSON-69]: allow unquoted names if feature enabled:
>>1769:         if (!isEnabled(Feature.ALLOW_UNQUOTED_FIELD_NAMES)) {
  1770:             _reportUnexpectedChar(ch, ""was expecting double-quote to start field name"");
  1771:         }
  1772:         /* Also: note that although we use a different table here,",42
JacksonCore_3f_mutant_123,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_decodeEscaped,2831,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (digit < 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  2828:             }
  2829:             int ch = (int) _inputBuffer[_inputPtr++];
  2830:             int digit = CharTypes.charToHex(ch);
>>2831:             if (digit < 0) {
  2832:                 _reportUnexpectedChar(ch, ""expected a hex-digit for character escape sequence"");
  2833:             }
  2834:             value = (value << 4) | digit;",42
Codec_9f_mutant_157,Codec,9f,org.apache.commons.codec.binary.Base64,encode,477,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,for (int i = 0; i < inAvail; i++) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  474:                 pos += lineSeparator.length;
  475:             }
  476:         } else {
>>477:             for (int i = 0; i < inAvail; i++) {
  478:                 if (buffer == null || buffer.length - pos < encodeSize) {
  479:                     resizeBuffer();
  480:                 }",42
JacksonCore_9f_mutant_1931,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleOddName2,1541,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (outPtr >= outBuf.length) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1538:             outBuf[outPtr++] = c;
  1539: 
  1540:             // Need more room?
>>1541:             if (outPtr >= outBuf.length) {
  1542:                 outBuf = _textBuffer.finishCurrentSegment();
  1543:                 outPtr = 0;
  1544:             }",42
JacksonCore_9f_mutant_1534,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,nextToken,696,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,return (_currToken = null);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  693:         if (i < 0) { // end-of-input
  694:             // Close/release things like input source, symbol table and recyclable buffers
  695:             close();
>>696:             return (_currToken = null);
  697:         }
  698: 
  699:         // First, need to ensure we know the starting location of token",42
JacksonCore_2f_mutant_292,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleApos,2398,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,outBuf[outPtr++] = (char) (0xD800 | (c >> 10));,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  2395:             case 4: // 4-byte UTF
  2396:                 c = _decodeUtf8_4(c);
  2397:                 // Let's add first part right away:
>>2398:                 outBuf[outPtr++] = (char) (0xD800 | (c >> 10));
  2399:                 if (outPtr >= outBuf.length) {
  2400:                     outBuf = _textBuffer.finishCurrentSegment();
  2401:                     outPtr = 0;",42
JacksonCore_9f_mutant_574,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseFloat,1535,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_inputPtr >= _inputEnd && !loadMore()) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1532: 
  1533:             fract_loop:
  1534:             while (true) {
>>1535:                 if (_inputPtr >= _inputEnd && !loadMore()) {
  1536:                     eof = true;
  1537:                     break fract_loop;
  1538:                 }",42
Codec_3f_mutant_217,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,handleCH,385,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,return index + 2;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  382:             } else {
  383:                 result.append('X');
  384:             }
>>385:             return index + 2;
  386:         }
  387:     }
  388: ",42
