id,title,authors,year,venue,search_strings,v1_decision,v1_reason
15,"EvoSuite at the SBST 2019 Tool Competition","J. Campos; A. Panichella; G. Fraser",2019,"SBST","String A",EXCLUDE,"EC4 - test-generation tool competition, not mutant selection"
16,"EvoSuite at the SBST 2018 Tool Competition","G. Fraser; J. M. Rojas; A. Arcuri",2018,"SBST","String A",EXCLUDE,"EC4 - test-generation tool competition, not mutant selection"
17,"EvoSuite at the SBST 2015 Tool Competition","G. Fraser; A. Arcuri",2015,"SBST","String A",EXCLUDE,"IC2 - published 2015"
18,"Automated Search for Good Coverage Criteria...","P. McMinn et al.",2016,"SBST","String A",EXCLUDE,"IC2 - published 2016"
19,"Scalable Mutation Testing Using Predictive Analysis of Deep Learning Model","M. R. Naeem et al.",2019,"IEEE Access","String A",INCLUDE,"IC1-IC5 OK; on-topic (I): DL predicts killed/alive mutants on Java (Eclipse JDT) programs"
20,"Mutation Testing of Deep Reinforcement Learning Based on Real Faults","F. Tambon et al.",2023,"ICST","String A",EXCLUDE,"EC4 - mutation testing OF reinforcement-learning systems"
21,"EvoSuite at the SBST 2016 Tool Competition","G. Fraser; A. Arcuri",2016,"SBST","String A",EXCLUDE,"IC2 - published 2016"
22,"DeepWeak: Weak Mutation Testing for Deep Learning Systems","Y. Xue et al.",2024,"QRS","String A",EXCLUDE,"EC4 - weak mutation testing OF DL systems"
23,"Sentinel: A Hyper-Heuristic for the Generation of Mutant Reduction Strategies","G. Guizzo; F. Sarro; J. Krinke; S. R. Vergilio",2022,"IEEE TSE","String A; String B",INCLUDE,"IC1-IC5 OK; on-topic (I): search-based hyper-heuristic mutant reduction; 10 Java systems"
24,"DeepMutation: Mutation Testing of Deep Learning Systems","L. Ma et al.",2018,"ISSRE","String A",EXCLUDE,"EC4 - mutation testing OF DL systems"
25,"Inferring Automatic Test Oracles","W. B. Langdon; S. Yoo; M. Harman",2017,"SBST","String A",EXCLUDE,"IC2 - published 2017 (also about oracles, not mutant selection)"
26,"mrstudyr: Retrospectively Studying the Effectiveness of Mutant Reduction Techniques","C. J. McCurdy; P. McMinn; G. M. Kapfhammer",2016,"ICSME","String B",EXCLUDE,"IC2 - published 2016"
27,"Quasi-Dominators and Random Selection in Mutation Testing","R. Pitts",2022,"ICCQ","String B",INCLUDE,"IC1-IC5 OK; on-topic (C): random mutant selection analysis"
28,"Is operator-based mutant selection superior to random mutant selection?","L. Zhang et al.",2010,"ICSE","String B",EXCLUDE,"IC2 - published 2010 (classic baseline; cited as background only)"
29,"Operator-based and random mutant selection: Better together","L. Zhang; M. Gligoric; D. Marinov; S. Khurshid",2013,"ASE","String B",EXCLUDE,"IC2 - published 2013 (classic baseline; cited as background only)"
30,"An Empirical Comparison of Mutant Selection Assessment Metrics","J. M. Zhang et al.",2019,"ICSTW","String B",INCLUDE,"IC1-IC5 OK; on-topic: how to measure mutant-selection effectiveness (104 projects)"
31,"Random Mutant Selection and Equivalent Mutants Revisited","R. Pitts",2022,"ICSTW","String B",INCLUDE,"IC1-IC5 OK; on-topic (C): random mutant selection vs equivalent mutants"
32,"MQP: Mutants Quality Prediction for Cost-Effective Mutation Testing","X. Wang et al.",2021,"QRS-C","String B",INCLUDE,"IC1-IC5 OK; on-topic (I): ML quality prediction + GA mutant subset vs random-based selection"
33,"Prioritizing Mutants to Guide Mutation Testing","S. J. Kaufman et al.",2022,"ICSE","String B",INCLUDE,"IC1-IC5 OK; on-topic (I): ML-predicted TCAP to prioritize mutants vs prior state-of-the-art"
34,"Poster: Predicting the Fault Revelation Utility of Mutants","T. T. Chekam et al.",2018,"ICSE-Companion","String B",EXCLUDE,"EC3 - 2-page poster (SP408-409). NOTE: full ICSE 2017 version 'Predicting the Fault Revelation Utility of Mutants' exists but is not in this export"
35,"Using Fourier Analysis and Mutant Clustering to Accelerate DNN Mutation Testing","A. Ghanbari; S. Tavakkol",2025,"ASE","String B",EXCLUDE,"EC4 - subject = DNN models (not Java/code-level). NOTE: it compares clustering selection vs random and reports numbers - useful as background"
36,"Optimal Second-Order Mutants Reduction Based on MOEA/D","J. Liu; Z. Wang",2023,"QRS-C","String B",INCLUDE,"IC1-IC5 OK; on-topic (I): search-based (MOEA/D) mutant reduction vs baseline"
37,"Using a swarm to detect hard-to-kill mutants","A. Ibias; M. Nunez",2020,"SMC","String B",INCLUDE,"IC1-IC5 OK; on-topic (I): swarm-intelligence mutant classification/selection"
38,"Enabling Efficient Assertion Inference","A. Garg et al.",2023,"ISSRE","String B",INCLUDE,"IC1-IC5 OK; on-topic (I): learning-based (encoder-decoder) mutant prediction; 46 projects"
39,"Growing a Reduced Set of Mutation Operators","M. E. Delamaro et al.",2014,"SBES","String B",EXCLUDE,"IC2 - published 2014 (classic selective-mutation baseline)"
40,"Mutation score evaluation in terms of object-oriented metrics","M. H. Moghadam; S. M. Babamir",2014,"ICCKE","String C",EXCLUDE,"IC2 - published 2014"
41,"Control Oriented Mutation Testing for Detection of Potential Software Bugs","M. B. Bashir; A. Nadeem",2012,"FIT","String C",EXCLUDE,"IC2 - published 2012"
42,"A weak mutation testing framework for WS-BPEL","P. Boonyakulsrirung; T. Suwannasart",2011,"JCSSE","String C",EXCLUDE,"IC2 - published 2011"
43,"On the Improvement of the Mutation Score Using Distinguishing Test Cases","S. Nica",2011,"ICST","String C",EXCLUDE,"IC2 - published 2011"
44,"Scalability Studies on Selective Mutation Testing","J. Zhang",2015,"ICSE","String C",EXCLUDE,"IC2 - published 2015"
45,"A Solution For Improving The Effectiveness of Higher Order Mutation Testing","D. Van Nho; N. Quang Vu; N. Thanh Binh",2019,"RIVF","String C",EXCLUDE,"EC4 - higher-order mutant generation strategies, not AI-guided selection vs random"
46,"An Empirical Study on the Scalability of Selective Mutation Testing","J. Zhang; M. Zhu; D. Hao; L. Zhang",2014,"ISSRE","String C",EXCLUDE,"IC2 - published 2014"
47,"Toward a Functional Requirements Prioritization with Early Mutation Testing","N. Condori-Fernandez; M. F. Granda; T. E. J. Vos",2018,"RET","String C",EXCLUDE,"EC4 - requirements prioritization, not mutant selection"
48,"Priority Path for Mutant Repairs on Mutation Testing","S. A. Arnomo; N. Binti Ibrahim",2019,"ICAITI","String C",EXCLUDE,"EC4 - mutant-repair path priority, not AI-guided selection vs random"
49,"Extreme mutation testing in practice: An industrial case study","M. Betka; S. Wagner",2021,"AST","String C",EXCLUDE,"EC4 - extreme mutation testing (different cost-reduction technique), not AI-guided selection vs random"
50,"Improving Effectiveness of Spectrum-based Software Fault Localization using Mutation Testing","A. Saxena; R. Bhatnagar; D. K. Srivastava",2021,"INCET","String C",EXCLUDE,"EC4 - fault localization use of MT"
51,"Investigating the Correlation between Mutation Score and Coverage Score","B. Assylbekov et al.",2013,"UKSim","String C",EXCLUDE,"IC2 - published 2013"
52,"MILU: A Customizable, Runtime-Optimized Higher Order Mutation Testing Tool for the Full C Language","Y. Jia; M. Harman",2008,"TAIC PART","String C",EXCLUDE,"IC2 - published 2008"
53,"Bacterio: Java mutation testing tool: A framework to evaluate quality of tests cases","P. R. Mateo; M. P. Usaola",2012,"ICSM","String C",EXCLUDE,"IC2 - published 2012"
54,"Automatic Test Case Generation and Optimization Based on Mutation Testing","Y. Du et al.",2019,"QRS-C","String C",EXCLUDE,"EC4 - GA test-case generation + operator selection, not AI-guided mutant selection vs random"
55,"An Empirical Study on Mutation Testing of WS-BPEL Programs","C.-a. Sun et al.",2017,"The Computer Journal","String C",EXCLUDE,"IC2 - published 2017"
56,"Extended firm mutation testing: A cost reduction technique for mutation testing","M. Singh; V. M. Srivastava",2017,"ICIIP","String C",EXCLUDE,"IC2 - published 2017"
57,"An approach for mutation testing using elitist genetic algorithm","K. K. Mishra et al.",2010,"ICCSIT","String C",EXCLUDE,"IC2 - published 2010"
58,"Mutation testing meets approximate computing","M. Gligoric; S. Khurshid; S. Misailovic; A. Shi",2017,"ICSE-NIER","String C",EXCLUDE,"IC2 - published 2017"
59,"Mutation testing for integer overflow in ethereum smart contracts","J. Sun et al.",2022,"Tsinghua Science and Technology","String C",EXCLUDE,"EC4 - smart-contract specific mutation operators"
60,"A comparison of database fault detection capabilities using mutation testing","D. W. McCormick; W. B. Frakes; R. Anguswamy",2012,"ESEM","String C",EXCLUDE,"IC2 - published 2012"
61,"Testing DOM-utilizing functionalities through mutation testing","D. Pozderac et al.",2024,"INFOTEH","String C",EXCLUDE,"EC4 - code-coverage/DOM testing focus, not AI-guided mutant selection"
